STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,DAPR,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/22/2023,,,,,0,0,0,,72,43,50
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/23/2023,,,,,1.71,0,0,,70,50,54
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/24/2023,,,,,0.17,0,0,,67,42,42
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/25/2023,,,,,0,0,0,,60,39,39
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/26/2023,,,,,0,0,0,,58,35,37
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/27/2023,,,,,0.07,0,0,,59,37,45
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/28/2023,,,,,0,0,0,,58,44,47
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/29/2023,,,,,1.52,0,0,,53,45,47
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/30/2023,,,,,0.56,0,0,,52,47,49
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/1/2023,,,,,2.07,0,0,,58,48,48
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/2/2023,,,,,0.01,0,0,,59,43,44
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/3/2023,,,,,0.02,0,0,,55,44,45
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/4/2023,,,,,0.08,0,0,,55,43,46
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/5/2023,,,,,0.05,0,0,,57,41,42
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/6/2023,,,,,0.01,0,0,,63,42,44
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/7/2023,,,,,0,0,0,,72,44,53
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/8/2023,,,,,0.02,0,0,,75,52,54
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/9/2023,,,,,0,0,0,,75,50,54
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/10/2023,,,,,0,0,0,,69,40,41
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/11/2023,,,,,0,0,0,,72,41,53
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/12/2023,,,,,0,0,0,,72,52,57
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/13/2023,,,,,0,0,0,,84,52,62
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/14/2023,,,,,0,0,0,,80,51,53
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/15/2023,,,,,0,0,0,,73,45,49
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/16/2023,,,,,0,0,0,,73,48,52
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/17/2023,,,,,0,0,0,,77,52,54
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/18/2023,,,,,0,0,0,,62,34,37
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/19/2023,,,,,0,0,0,,62,37,44
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/20/2023,,,,,0,0,0,,72,44,52
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/21/2023,,,,,0.69,0,0,,65,52,54
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/22/2023,,,,,0,0,0,,71,49,51
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/23/2023,,,,,0,0,0,,76,48,50
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/24/2023,,,,,0,0,0,,72,45,46
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/25/2023,,,,,0.04,0,0,,79,46,49
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/26/2023,,,,,0,0,0,,69,43,44
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/27/2023,,,,,0,0,0,,72,43,45
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/28/2023,,,,,0,0,0,,78,45,48
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/29/2023,,,,,0,0,0,,81,48,53
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/30/2023,,,,,0,0,0,,79,51,54
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/31/2023,,,,,0,0,0,,73,44,46
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/1/2023,,,,,0,0,0,,79,46,51
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/2/2023,,,,,0,0,0,,88,51,60
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/3/2023,,,,,0,0,0,,94,60,67
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/4/2023,,,,,0,0,0,,69,44,46
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/5/2023,,,,,0,0,0,,70,46,53
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/6/2023,,,,,0,0,0,,76,53,53
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/7/2023,,,,,0,0,0,,79,53,57
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/8/2023,,,,,0,0,0,,68,46,50
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/9/2023,,,,,0,0,0,,70,50,56
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/10/2023,,,,,0,0,0,,73,51,56
